termo_pesquisa,id,titulo,preco,link,vendedor,condicao,disponibilidade,vendidos
apple tv,MLA1463957805,Apple Tv 4.a Generación 2015 Full Hd 32gb 2gb Ram,250000.0,https://articulo.mercadolibre.com.ar/MLA-1463957805-apple-tv-4a-generacion-2015-full-hd-32gb-2gb-ram-_JM,75988422,used,1,
apple tv,MLA1867521508,Apple Tv A1469 3ra Generación,58000.0,https://articulo.mercadolibre.com.ar/MLA-1867521508-apple-tv-a1469-3ra-generacion-_JM,115431977,used,1,
apple tv,MLA1913427140,Apple Tv A1427  3.a Generación Full Hd 8gb Negro,60000.0,https://articulo.mercadolibre.com.ar/MLA-1913427140-apple-tv-a1427-3a-generacion-full-hd-8gb-negro-_JM,1439744152,used,1,
apple tv,MLA1445793563,Apple Tv Hd A1625 De Voz 4.ª Generación 2015 Full Hd 64 Gb,150000.0,https://articulo.mercadolibre.com.ar/MLA-1445793563-apple-tv-hd-a1625-de-voz-4-generacion-2015-full-hd-64-gb-_JM,89647872,used,1,
apple tv,MLA1903134622,Apple Tv A1427 3.ª Generación Full Hd 8gb,73999.0,https://articulo.mercadolibre.com.ar/MLA-1903134622-apple-tv-a1427-3-generacion-full-hd-8gb-_JM,62674746,used,1,
apple tv,MLA2010200866,Apple Tv Hd 4ta 4th Generación 2015 A1625 Restore Problem,59000.0,https://articulo.mercadolibre.com.ar/MLA-2010200866-apple-tv-hd-4ta-4th-generacion-2015-a1625-restore-problem-_JM,72129527,used,1,
apple tv,MLA1448835555,Apple Tv A1469 Estándar 3,80000.0,https://articulo.mercadolibre.com.ar/MLA-1448835555-apple-tv-a1469-estandar-3-_JM,43381121,used,1,
apple tv,MLA1414122791, Apple Tv A1427 Negro - 1080p Full Hd,120000.0,https://articulo.mercadolibre.com.ar/MLA-1414122791-apple-tv-a1427-negro-1080p-full-hd-_JM,211738,used,1,
apple tv,MLA1436930383,Apple Tv A1427 Estándar 3.ªgeneracion,80500.0,https://articulo.mercadolibre.com.ar/MLA-1436930383-apple-tv-a1427-estandar-3generacion-_JM,35640592,used,1,
apple tv,MLA1317267791,Apple Tv 3era Generación. Full Hd. Con Control Remoto,80000.0,https://articulo.mercadolibre.com.ar/MLA-1317267791-apple-tv-3era-generacion-full-hd-con-control-remoto-_JM,84465736,used,1,
